2343,r???b402.7344,748.7632
80367305,2.2435,3784.1797,8489.6348
80367343,2.1907,3789.0625,8300.5752
80367382,2.2962,3798.8281,8723.0273
80367420,2.2171,3769.5313,8357.2803
80367459,2.2962,3774.4141,8666.9658
80367497,2.3754,3750.0000,8907.8330
80367536,2.4282,3769.5313,9153.2119
80367575,2.4018,3754.8828,9018.5371
80367612,2.4282,3779.2969,9176.9248
80367651,2.3490,3774.4141,8866.2070
80367689,2.3754,3779.2969,8977.4258
80367728,2.2698,3774.4141,8567.3457
80367767,2.2962,3789.0625,8700.6025
80367805,2.3226,3784.1797,8789.2686
80367844,2.2962,3784.1797,8689.3906
80367882,2.1643,3779.2969,8179.4331
80367921,2.3754,3789.0625,9000.6230
80367959,2.1643,3793.9453,8211.1357
