9172196,0i???01.5547,1272.7686
289193893,2.2171,3740.2344,8292.3271
289193933,2.4282,3710.9375,9010.9336
289193972,2.3490,3710.9375,8717.0996
289194012,2.3490,3720.7031,8740.0391
289194051,2.3226,3759.7656,8732.5635
289194091,2.2962,3701.1719,8498.7842
289194131,2.3754,3696.2891,8780.2471
289194170,2.5338,3666.9922,9291.3652
289194210,2.2435,3730.4688,8369.1367
289194249,2.2435,3706.0547,8314.3652
289194289,2.3226,3730.4688,8664.5176
289194328,2.4810,3691.4063,9158.3662
289194368,2.4018,3720.7031,8936.4443
289194407,2.5602,3696.2891,9463.1553
289194446,2.5866,3710.9375,9598.6035
289194486,2.4810,3627.9297,9000.8809
289194525,2.4546,3706.0547,9096.8926
289194565,2.2435,3740.2344,8391.0459
289194605,2.4018,3691.4063,8866.0781
289194644,2.3754,3715.8203,8826.6426
289194684,2.3754,3701.1719,8791.8457
289194723,2.3226,3750.0000,8709.8818
289194763,2.1907,3720.7031,8150.8223
289194803,2.2435,3730.4688,8369.1367
289194842,2.3226,3701.1719,8596.4717
289194882,2.3490,3759.7656,8831.7979
289194920,2.2435,3730.4688,8369.1367
289194960,2.2698,3740.2344,8489.7627
289195000,2.4018,3710.9375,8912.9883
289195039,2.5074,3701.1719,9280.2822
289195079,2.4282,3710.9375,9010.9336
289195118,2.4282,3706.0547,8999.0771
289195158,2.5602,3696.2891,9463.1553
289195198,2.5338,3681.6406,9328.4805
289195237,2.4810,3710.9375,9206.8232
289195277,2.6130,3666.9922,9581.7207
289195316,2.4546,3701.1719,9084.9072
289195356,2.6130,3676.7578,9607.2383
289195395,2.3754,3725.5859,8849.8398
289195435,2.2698,3735.3516,8478.6797
289195474,2.1379,3740.2344,7996.1724
289195513,2.2435,3593.7500,8062.4146
289195553,2.3226,3730.4688,8664.5176
289195592,2.0059,3769.5313,7561.3481
289195632,2.1379,3745.1172,8006.6113
289195672,2.1643,3735.3516,8084.3232
289195711,2.3754,3715.8203,8826.6426
289195751,2.4810,3720.7031,9231.0518
289195790,2.6130,3681.6406,9619.9971
289195830,2.3754,3710.9375,8815.0439
289195870,2.5338,3671.8750,9303.7373
289195909,2.6658,3686.5234,9827.3564
289195949,2.4018,3701.1719,8889.5332
289195987,2.4546,3710.9375,9108.8779
289196027,2.5602,3798.8281,9725.6738
289196067,2.5074,3686.5234,9243.5527
289196106,2.3754,3750.0000,8907.8330
289196146,2.4018,3701.1719,8889.5332
289196185,2.3754,3720.7031,8838.2412
289196225,2.4810,3706.0547,9194.7090
289196265,2.2698,3750.0000,8511.9297
289196304,2.2435,3706.0547,8314.3652
289196344,2.2435,3750.0000,8412.9541
289196383,2.4018,3686.5234,8854.3506
