289224&?	r?84,4028.3203,744.2526
289249970,2.0587,3789.0625,7800.5405
289250010,2.1115,3754.8828,7928.3843
289250049,2.0587,3759.7656,7740.2271
289250088,2.0851,3750.0000,7819.0986
289250127,2.1379,3730.4688,7975.2949
289250167,2.4018,3735.3516,8971.6270
289250207,2.2698,3730.4688,8467.5967
289250246,2.2435,3735.3516,8380.0908
289250286,2.2435,3730.4688,8369.1367
289250325,2.2171,3754.8828,8324.8037
289250365,2.1643,3720.7031,8052.6201
289250404,2.1643,3872.0703,8380.2197
289250444,2.2171,3720.7031,8249.0254
289250484,2.2698,3759.7656,8534.0957
289250523,2.1907,3710.9375,8129.4287
