
288383??	r?90,4072.2656,1182.2985
288401304,2.1379,3798.8281,8121.4390
288401343,2.1907,3759.7656,8236.3955
288401383,2.1643,3803.7109,8232.2715
288401422,2.2962,3774.4141,8666.9658
288401462,2.1379,3784.1797,8090.1226
288401502,2.1115,3789.0625,8000.5542
288401541,2.1907,3793.9453,8311.2715
288401581,2.1907,3759.7656,8236.3955
288401619,2.1643,3803.7109,8232.2715
288401659,2.0851,3779.2969,7880.1855
288401698,2.1115,3818.3594,8062.4141
288401738,2.0323,3793.9453,7710.4565
288401778,2.1379,3793.9453,8111.0000
288401817,2.0587,3779.2969,7780.4360
288401857,2.1379,3813.4766,8152.7554
288401896,2.1115,3779.2969,7979.9341
288401936,2.2171,3813.4766,8454.7090
288401976,2.1115,3784.1797,7990.2441
288402015,2.1379,3793.9453,8111.0000
288402055,2.1907,3769.5313,8257.7881
288402094,2.1907,3789.0625,8300.5752
288402134,2.2698,3774.4141,8567.3457
288402173,2.1115,3769.5313,7959.3140
288402212,2.1115,3774.4141,7969.6240
288402252,2.1115,3715.8203,7845.9043
288402291,2.1643,3798.8281,8221.7041
288402331,2.1643,3818.3594,8263.9746
288402371,2.1379,3774.4141,8069.2446
288402410,2.3226,3803.7109,8834.6328
288402450,2.2435,3769.5313,8456.7715
288402489,2.2171,3789.0625,8400.5820
288402529,2.0851,3779.2969,7880.1855
288402569,2.0851,3808.5938,7941.2725
288402608,2.1907,3774.4141,8268.4854
288402648,2.1379,3798.8281,8121.4390
288402686,2.0851,3759.7656,7839.4609
288402726,2.1379,3789.0625,8100.5610
288402766,2.1379,3793.9453,8111.0000
288402805,2.0587,3803.7109,7830.6973
288402845,2.1115,3793.9453,8010.8643
288402884,2.1379,3798.8281,8121.4390
288402924,2.0851,3798.8281,7920.9102
288402963,2.1115,3803.7109,8031.4839
288403003,2.2435,3774.4141,8467.7256
288403043,2.3754,3779.2969,8977.4258
288403082,2.1907,3774.4141,8268.4854
288403122,2.2171,3789.0625,8400.5820
288403161,2.1643,3784.1797,8190.0005
288403201,2.1907,3784.1797,8289.8779
288403240,2.1115,3789.0625,8000.5542
288403279,2.1379,3803.7109,8131.8779
288403319,2.1379,3798.8281,8121.4390
288403358,2.0851,3803.7109,7931.0913
288403398,2.0323,3793.9453,7710.4565
288403438,2.0587,3793.9453,7810.5928
288403477,2.1907,3784.1797,8289.8779
288403517,2.2435,3750.0000,8412.9541
288403556,2.1907,3793.9453,8311.2715
288403596,2.1907,3769.5313,8257.7881
288403636,2.1907,3789.0625,8300.5752
288403675,2.0851,3774.4141,7870.0044
288403715,2.1643,3803.7109,8232.2715
288403753,2.1115,3769.5313,7959.3140
288403793,2.2435,3808.5938,8544.4063
288403833,2.1379,3745.1172,8006.6113
288403872,2.1643,3793.9453,8211.1357
288403912,2.1643,3754.8828,8126.5942
