39,4?????4,069.6617
346708251,2.4546,3710.9375,9108.8779
346708290,2.3754,3745.1172,8896.2344
346708330,2.3490,3720.7031,8740.0391
346708370,2.3754,3730.4688,8861.4385
346708409,2.4282,3710.9375,9010.9336
346708449,2.4282,3789.0625,9200.6377
346708488,2.2962,3706.0547,8509.9971
346708528,2.2962,3740.2344,8588.4814
346708568,2.2698,3725.5859,8456.5137
346708606,2.4282,3745.1172,9093.9297
346708646,2.3754,3706.0547,8803.4443
346708685,2.4546,3828.1250,9396.5273
346708725,2.4546,3720.7031,9132.8486
346708765,2.3226,3759.7656,8732.5635
346708804,2.2435,3730.4688,8369.1367
346708844,2.4546,3730.4688,9156.8193
346708883,2.3490,3701.1719,8694.1592
346708923,2.5074,3725.5859,9341.4980
346708963,2.4282,3686.5234,8951.6514
346709002,2.3754,3730.4688,8861.4385
346709042,2.2962,3710.9375,8521.2090
346709081,2.3754,3730.4688,8861.4385
346709121,2.3754,3710.9375,8815.0439
346709160,2.2962,3730.4688,8566.0576
346709199,2.2435,3725.5859,8358.1826
346709239,2.2962,3754.8828,8622.1182
346709278,2.2962,3706.0547,8509.9971
346709318,2.3490,3745.1172,8797.3887
346709357,2.4810,3710.9375,9206.8232
346709397,2.3754,3745.1172,8896.2344
346709437,2.2435,3745.1172,8402.0000
346709476,2.2962,3764.6484,8644.5420
346709516,2.2698,3725.5859,8456.5137
346709555,2.3490,3754.8828,8820.3281
346709595,2.3490,3715.8203,8728.5693
346709635,2.3490,3740.2344,8785.9180
346709673,2.2962,3720.7031,8543.6328
346709713,2.2171,3754.8828,8324.8037
346709752,2.1907,3750.0000,8215.0020
346709792,2.2171,3745.1172,8303.1523
346709832,2.4018,3740.2344,8983.3545
346709871,2.4018,3710.9375,8912.9883
346709911,2.3490,3754.8828,8820.3281
346709950,2.3490,3745.1172,8797.3887
346709990,2.2962,3759.7656,8633.3301
346710030,2.3490,3720.7031,8740.0391
346710069,2.4018,3745.1172,8995.0820
346710109,2.3490,3701.1719,8694.1592
346710148,2.5074,3671.8750,9206.8232
346710188,2.4018,3696.2891,8877.8057
346710227,2.3490,3837.8906,9015.3154
346710266,2.2435,3730.4688,8369.1367
346710306,2.2171,3764.6484,8346.4541
346710345,2.2435,3720.7031,8347.2275
346710385,2.3226,3789.0625,8800.6094
346710425,2.2171,3750.0000,8313.9775
346710464,2.4018,3750.0000,9006.8096
346710504,2.1907,3740.2344,8193.6084
346710543,2.1907,3759.7656,8236.3955
346710583,2.2435,3759.7656,8434.8633
346710622,2.3490,3715.8203,8728.5693
346710662,2.4546,3720.7031,9132.8486
346710702,2.4810,3710.9375,9206.8232
346710740,2.4282,3720.7031,9034.6465
346710780,2.3754,3735.3516,8873.0371
346710819,2.2171,3759.7656,8335.6289
346710859,2.3226,3715.8203,8630.4951
346710899,2.2962,3764.6484,8644.5420
346710938,2.1907,3730.4688,8172.2153
346710978,2.1907,3779.2969,8279.1816
346711017,2.2171,3750.0000,8313.9775
346711057,2.1643,3774.4141,8168.8652
346711097,2.2435,3745.1172,8402.0000
346711136,2.1643,3740.2344,8094.8911
346711176,2.2435,3764.6484,8445.8174
346711215,2.2171,3715.8203,8238.1992
346711255,2.2962,3754.8828,8622.1182
346711294,2.3226,3715.8203,8630.4951
346711333,2.3490,3745.1172,8797.3887
346711373,2.3226,3715.8203,8630.4951
346711412,2.3226,3754.8828,8721.2227
346711452,2.2698,3720.7031,8445.4297
346711492,2.2698,3759.7656,8534.0957
346711531,2.1643,3740.2344,8094.8911
346711571,2.1907,3745.1172,8204.3057
346711610,2.3490,3720.7031,8740.0391
346711650,2.2698,3745.1172,8500.8467
346711690,2.1115,3774.4141,7969.6240
346711729,2.1643,3745.1172,8105.4590
346711769,2.1907,3754.8828,8225.6982
346711808,2.2962,3725.5859,8554.8447
346711847,2.2171,3750.0000,8313.9775
346711886,2.3226,3725.5859,8653.1768
