394.3359,2103.367228.5156,1674.0850
37900329,2.6394,3837.8906,10129.5670
37900369,2.5602,3847.6563,9850.6826
37900408,2.6130,3813.4766,9964.4795
37900446,2.6658,3789.0625,10100.7000
37900486,2.5866,3852.5391,9964.8662
37900524,2.4546,3862.3047,9480.4248
37900563,2.5338,3828.1250,9699.6406
37900601,2.5338,3784.1797,9588.2930
37900640,2.5602,3833.0078,9813.1797
37900679,2.6130,3852.5391,10066.5480
37900718,2.5074,3842.7734,9635.3330
37900756,2.4810,3818.3594,9473.3369
37900794,2.5866,3818.3594,9876.4580
37900833,2.5074,3862.3047,9684.3047
37900872,2.5602,3842.7734,9838.1816
37900910,2.5338,3808.5938,9650.1523
37900949,2.5866,3803.7109,9838.5684
37900987,2.4810,3842.7734,9533.9082
37901026,2.4546,3857.4219,9468.4395
37901064,2.4810,3837.8906,9521.7939
37901103,2.6921,3793.9453,10213.8530
37901143,2.7977,3803.7109,10641.7160
37901181,2.6921,3803.7109,10240.1430
37901221,2.6658,3847.6563,10256.8960
37901260,2.7449,3808.5938,10454.3320
37901300,2.6921,3872.0703,10424.1760
37901340,2.5074,3818.3594,9574.1172
37901378,2.4810,3828.1250,9497.5654
37901417,2.5338,3862.3047,9786.2441
37901455,2.5602,3847.6563,9850.6826
37901494,2.4546,3833.0078,9408.5127
37901532,2.5338,3813.4766,9662.5244
37901571,2.6658,3823.2422,10191.8140
37901611,2.8241,3813.4766,10769.6890
37901649,2.6394,3798.8281,10026.4680
37901689,2.7185,3818.3594,10380.3580
37901728,2.7185,3803.7109,10340.5350
37901768,2.7713,3779.2969,10473.6640
37901808,2.6921,3818.3594,10279.5780
37901847,2.5602,3847.6563,9850.6826
37901886,2.4282,3852.5391,9354.7725
37901924,2.4810,3823.2422,9485.4512
37901963,2.4810,3833.0078,9509.6797
37902002,2.5602,3823.2422,9788.1777
37902040,2.5074,3867.1875,9696.5479
37902078,2.6130,3798.8281,9926.2031
37902116,2.7185,3803.7109,10340.5350
37902156,2.6921,3823.2422,10292.7240
37902195,2.6921,3779.2969,10174.4160
37902235,2.6921,3793.9453,10213.8530
37902275,2.7449,3813.4766,10467.7350
