.1584,40?&???,67.1575
101324685,2.1907,3784.1797,8289.8779
101324725,2.2962,3750.0000,8610.9053
101324764,2.2435,3735.3516,8380.0908
101324804,2.2435,3759.7656,8434.8633
101324843,2.2698,3769.5313,8556.2627
101324882,2.3754,3735.3516,8873.0371
101324922,2.3490,3725.5859,8751.5088
101324961,2.3754,3735.3516,8873.0371
101325001,2.4018,3750.0000,9006.8096
101325040,2.3754,3764.6484,8942.6299
101325080,2.3754,3745.1172,8896.2344
101325120,2.2435,3745.1172,8402.0000
101325159,2.1379,3774.4141,8069.2446
101325199,2.0851,3779.2969,7880.1855
101325238,2.1115,3779.2969,7979.9341
101325278,2.0587,3754.8828,7730.1748
101325318,2.1643,3769.5313,8158.2974
101325357,2.1115,3774.4141,7969.6240
101325396,2.2435,3774.4141,8467.7256
101325435,2.1643,3740.2344,8094.8911
101325475,2.3226,3740.2344,8687.2002
101325515,2.3490,3750.0000,8808.8584
101325554,2.3754,3759.7656,8931.0313
101325594,2.2962,3720.7031,8543.6328
101325633,2.2435,3735.3516,8380.0908
101325673,2.2435,3764.6484,8445.8174
101325712,2.1907,3789.0625,8300.5752
101325752,2.1643,3764.6484,8147.7300
101325792,2.2171,3740.2344,8292.3271
101325831,2.1643,3779.2969,8179.4331
101325871,2.2698,3779.2969,8578.4287
101325910,2.2962,3774.4141,8666.9658
101325949,2.3490,3740.2344,8785.9180
101325989,2.2171,3745.1172,8303.1523
101326028,2.2962,3764.6484,8644.5420
101326068,2.2962,3750.0000,8610.9053
101326107,2.2435,3720.7031,8347.2275
101326147,2.2435,3745.1172,8402.0000
101326187,2.3226,3759.7656,8732.5635
101326226,2.2698,3769.5313,8556.2627
101326266,2.2698,3720.7031,8445.4297
101326305,2.2171,3735.3516,8281.5020
101326345,2.1907,3769.5313,8257.7881
101326385,2.2171,3779.2969,8378.9307
101326424,2.3490,3750.0000,8808.8584
101326464,2.2698,3740.2344,8489.7627
101326502,2.2171,3754.8828,8324.8037
101326542,2.2698,3764.6484,8545.1797
101326582,2.2698,3745.1172,8500.8467
101326621,2.2171,3740.2344,8292.3271
101326661,2.1643,3754.8828,8126.5942
101326700,2.2171,3789.0625,8400.5820
101326740,2.2171,3750.0000,8313.9775
101326780,2.3754,3735.3516,8873.0371
101326819,2.3226,3735.3516,8675.8594
101326859,2.2698,3759.7656,8534.0957
101326898,2.3490,3759.7656,8831.7979
101326938,2.2435,3740.2344,8391.0459
101326977,2.2171,3750.0000,8313.9775
101327016,2.2962,3754.8828,8622.1182
101327056,2.2698,3759.7656,8534.0957
101327095,2.3226,3745.1172,8698.5410
101327135,2.3226,3730.4688,8664.5176
101327174,2.3490,3769.5313,8854.7373
101327214,2.2435,3769.5313,8456.7715
101327254,2.2171,3779.2969,8378.9307
101327293,2.1643,3750.0000,8116.0264
101327333,2.1379,3764.6484,8048.3667
101327372,2.1643,3779.2969,8179.4331
101327412,2.1379,3774.4141,8069.2446
101327452,2.2962,3740.2344,8588.4814
101327491,2.3490,3745.1172,8797.3887
101327531,2.2962,3759.7656,8633.3301
101327569,2.2698,3759.7656,8534.0957
101327609,2.3226,3750.0000,8709.8818
101327649,2.3226,3735.3516,8675.8594
101327688,2.2698,3745.1172,8500.8467
101327728,2.2171,3759.7656,8335.6289
101327767,2.1907,3764.6484,8247.0918
101327807,2.2171,3720.7031,8249.0254
101327847,2.3226,3759.7656,8732.5635
