99,0.??L??722656,859.8534
80035317,2.5074,3798.8281,9525.1445
80035355,2.2962,3789.0625,8700.6025
80035394,2.3226,3823.2422,8879.9971
80035433,2.2698,3798.8281,8622.7617
80035471,2.2171,3823.2422,8476.3604
80035510,2.2435,3793.9453,8511.5439
80035548,2.1379,3823.2422,8173.6333
80035587,2.2698,3808.5938,8644.9287
80035624,2.1115,3818.3594,8062.4141
80035663,2.2435,3813.4766,8555.3613
80035702,2.2171,3813.4766,8454.7090
80035740,2.2698,3813.4766,8656.0117
80035779,2.2171,3818.3594,8465.5352
80035817,2.1643,3823.2422,8274.5430
80035856,2.3226,3808.5938,8845.9736
80035894,2.1907,3828.1250,8386.1475
80035933,2.2171,3803.7109,8433.0586
80035972,2.2435,3828.1250,8588.2236
80036009,2.1907,3798.8281,8321.9678
80036048,2.2435,3833.0078,8599.1787
80036086,2.2435,3789.0625,8500.5889
80036125,2.2962,3818.3594,8767.8750
80036163,2.4282,3793.9453,9212.4941
80036202,2.2962,3818.3594,8767.8750
80036241,2.3754,3798.8281,9023.8213
80036279,2.3226,3808.5938,8845.9736
80036318,2.3226,3803.7109,8834.6328
80036356,2.1907,3828.1250,8386.1475
80036395,2.3490,3837.8906,9015.3154
80036433,2.1907,3813.4766,8354.0576
80036471,2.2171,3837.8906,8508.8369
80036510,2.1907,3793.9453,8311.2715
80036548,2.2171,3847.6563,8530.4883
80036587,2.1379,3793.9453,8111.0000
80036625,2.2171,3823.2422,8476.3604
80036664,2.2171,3798.8281,8422.2334
80036703,2.2435,3818.3594,8566.3154
80036741,2.3226,3793.9453,8811.9512
80036780,2.3226,3818.3594,8868.6563
80036817,2.2698,3803.7109,8633.8447
80036856,2.2962,3808.5938,8745.4512
80036894,2.3226,3808.5938,8845.9736
80036933,2.4018,3793.9453,9112.3584
80036972,2.4018,3818.3594,9170.9961
80037010,2.2698,3798.8281,8622.7617
80037049,2.3754,3837.8906,9116.6104
80037087,2.1907,3808.5938,8343.3613
80037126,2.3754,3837.8906,9116.6104
80037165,2.2171,3789.0625,8400.5820
80037202,2.2171,3833.0078,8498.0117
80037241,2.3754,3784.1797,8989.0244
80037279,2.2171,3842.7734,8519.6621
80037318,2.3490,3803.7109,8935.0264
80037356,2.2435,3823.2422,8577.2695
80037395,2.2698,3808.5938,8644.9287
80037434,2.3490,3803.7109,8935.0264
80037472,2.3490,3798.8281,8923.5566
80037511,2.3490,3813.4766,8957.9668
80037549,2.2962,3808.5938,8745.4512
80037587,2.2435,3803.7109,8533.4521
80037625,2.1907,3818.3594,8364.7549
80037664,2.2171,3813.4766,8454.7090
80037703,2.2435,3823.2422,8577.2695
80037741,2.1907,3813.4766,8354.0576
80037780,2.2435,3842.7734,8621.0869
80037818,2.2698,3793.9453,8611.6787
80037857,2.2171,3823.2422,8476.3604
80037896,2.1643,3803.7109,8232.2715
80037934,2.3754,3823.2422,9081.8145
80037972,2.2698,3784.1797,8589.5117
80038010,2.2962,3813.4766,8756.6631
80038049,2.3490,3793.9453,8912.0869
80038087,2.4282,3813.4766,9259.9199
80038126,2.2698,3789.0625,8600.5957
80038165,2.2698,3813.4766,8656.0117
80038203,2.3754,3803.7109,9035.4199
80038242,2.2962,3813.4766,8756.6631
80038280,2.2962,3823.2422,8779.0879
80038319,2.2962,3813.4766,8756.6631
