4.6797,1513.764696.6797,1730.0167
36499851,2.5338,3823.2422,9687.2686
36499889,2.4546,3837.8906,9420.4980
36499928,2.4018,3828.1250,9194.4512
36499965,2.3754,3847.6563,9139.8086
36500004,2.4810,3823.2422,9485.4512
36500042,2.3754,3828.1250,9093.4131
36500081,2.2171,3833.0078,8498.0117
36500120,2.1907,3837.8906,8407.5410
36500158,2.4018,3828.1250,9194.4512
36500197,2.5602,3818.3594,9775.6768
36500235,2.4018,3818.3594,9170.9961
36500274,2.5866,3789.0625,9800.6787
36500312,2.5338,3818.3594,9674.8965
36500350,2.6394,3813.4766,10065.1300
36500390,2.6658,3818.3594,10178.7980
36500429,2.5602,3837.8906,9825.6807
36500468,2.4018,3862.3047,9276.5449
36500506,2.5602,3808.5938,9750.6758
36500545,2.4810,3857.4219,9570.2510
36500584,2.4282,3837.8906,9319.2031
36500622,2.5074,3793.9453,9512.9014
36500661,2.6394,3793.9453,10013.5800
36500700,2.4282,3813.4766,9259.9199
36500739,2.3226,3823.2422,8879.9971
36500776,2.2962,3837.8906,8812.7236
36500815,2.5602,3764.6484,9638.1680
36500854,2.5338,3828.1250,9699.6406
36500892,2.5866,3837.8906,9926.9766
36500931,2.4810,3818.3594,9473.3369
36500969,2.5602,3833.0078,9813.1797
36501008,2.6658,3813.4766,10165.7810
36501048,2.5074,3818.3594,9574.1172
36501086,2.5866,3813.4766,9863.8281
36501125,2.5602,3803.7109,9738.1748
36501163,2.5602,3789.0625,9700.6719
36501201,2.5338,3818.3594,9674.8965
36501239,2.5602,3774.4141,9663.1689
36501278,2.4018,3798.8281,9124.0859
36501317,2.4282,3818.3594,9271.7764
36501355,2.6130,3803.7109,9938.9619
36501394,2.5866,3818.3594,9876.4580
36501432,2.5602,3833.0078,9813.1797
36501471,2.5602,3837.8906,9825.6807
36501509,2.6394,3808.5938,10052.2420
36501549,2.6394,3818.3594,10078.0180
36501588,2.5602,3813.4766,9763.1758
36501626,2.5074,3828.1250,9598.6035
36501665,2.6394,3813.4766,10065.1300
36501704,2.5602,3789.0625,9700.6719
36501743,2.4810,3803.7109,9436.9941
36501782,2.4546,3793.9453,9312.6289
36501820,2.5602,3808.5938,9750.6758
36501859,2.5866,3808.5938,9851.1982
36501897,2.6130,3823.2422,9989.9971
36501936,2.6921,3813.4766,10266.4340
36501975,2.4810,4028.3203,9994.2490
36502013,2.5866,3876.9531,10028.0150
36502053,2.7185,3808.5938,10353.8100
36502092,2.5866,3789.0625,9800.6787
36502131,2.6130,3789.0625,9900.6865
36502169,2.7449,3784.1797,10387.3170
36502209,2.6658,3803.7109,10139.7490
36502249,2.5602,3818.3594,9775.6768
36502287,2.5602,3837.8906,9825.6807
36502326,2.4810,3828.1250,9497.5654
36502364,2.5074,3808.5938,9549.6309
36502403,2.6394,3803.7109,10039.3550
36502441,2.5338,3789.0625,9600.6650
36502480,2.5338,3842.7734,9736.7568
36502519,2.6130,3764.6484,9836.8936
36502557,2.6658,3793.9453,10113.7160
36502597,2.8505,3789.0625,10800.7480
36502636,2.7449,3774.4141,10360.5120
36502676,2.5602,3798.8281,9725.6738
36502715,2.5602,3808.5938,9750.6758
36502753,2.6130,3779.2969,9875.1689
36502792,2.7977,3784.1797,10587.0730
36502831,2.7185,3813.4766,10367.0840
36502871,2.6658,3818.3594,10178.7980
36502910,2.7185,3784.1797,10287.4390
36502949,2.6658,3784.1797,10087.6840
36502989,2.4282,3803.7109,9236.2070
36503027,2.5074,3789.0625,9500.6582
36503066,2.4810,3808.5938,9449.1084
36503104,2.5866,3793.9453,9813.3086
36503143,2.7449,3803.7109,10440.9300
36503183,2.7713,3789.0625,10500.7280
36503222,2.7977,3774.4141,10559.7520
36503262,2.8241,3833.0078,10824.8480
36503301,2.7977,3803.7109,10641.7160
36503341,2.6130,3823.2422,9989.9971
36503379,2.6130,3813.4766,9964.4795
36503417,2.5602,3813.4766,9763.1758
36503456,2.6658,3813.4766,10165.7810
36503495,2.5602,3764.6484,9638.1680
36503534,2.4810,3793.9453,9412.7656
36503572,2.6130,3691.4063,9645.5137
36503611,2.7713,3847.6563,10663.1100
36503651,2.8241,3793.9453,10714.5310
36503690,2.7449,3798.8281,10427.5260
36503730,2.6130,3793.9453,9913.4453
36503768,2.6658,3793.9453,10113.7160
36503808,2.7185,3779.2969,10274.1650
36503847,2.6394,3798.8281,10026.4680
36503886,2.5338,3818.3594,9674.8965
36503925,2.5338,3828.1250,9699.6406
36503963,2.6658,3813.4766,10165.7810
36504003,2.5866,3779.2969,9775.4199
36504042,2.5602,3862.3047,9888.1846
36504080,2.5602,3803.7109,9738.1748
36504119,2.6394,3833.0078,10116.6800
36504158,2.6130,3764.6484,9836.8936
36504197,2.6130,3803.7109,9938.9619
36504235,2.6921,3818.3594,10279.5780
36504274,2.6394,3823.2422,10090.9050
36504314,2.6658,3803.7109,10139.7490
36504353,2.6394,3764.6484,9936.2549
36504392,2.5602,3793.9453,9713.1729
36504430,2.6394,3798.8281,10026.4680
36504470,2.6658,3789.0625,10100.7000
36504510,2.6921,3813.4766,10266.4340
36504549,2.5866,3808.5938,9851.1982
36504588,2.7185,3808.5938,10353.8100
36504627,2.6658,3813.4766,10165.7810
36504667,2.6658,3779.2969,10074.6670
36504706,2.4810,3784.1797,9388.5371
36504744,2.4282,3823.2422,9283.6328
36504783,2.5074,3818.3594,9574.1172
36504821,2.5338,3813.4766,9662.5244
36504860,2.5866,3818.3594,9876.4580
36504898,2.5074,3818.3594,9574.1172
36504937,2.5866,3823.2422,9889.0869
36504976,2.6658,3769.5313,10048.6350
36505015,2.7449,3759.7656,10320.3030
36505055,2.7185,3793.9453,10313.9870
36505094,2.6130,3779.2969,9875.1689
36505133,2.6658,3813.4766,10165.7810
36505171,2.5602,3789.0625,9700.6719
36505210,2.5602,3823.2422,9788.1777
36505249,2.5074,3808.5938,9549.6309
