944,r???b???r??47,1166.7046
261167244,2.2435,3730.4688,8369.1367
261167284,2.2435,3740.2344,8391.0459
261167324,2.1907,3754.8828,8225.6982
261167363,2.2171,3715.8203,8238.1992
261167403,2.3490,3740.2344,8785.9180
261167441,2.3226,3715.8203,8630.4951
261167481,2.2171,3740.2344,8292.3271
261167521,2.3226,3720.7031,8641.8359
261167560,2.2435,3735.3516,8380.0908
261167600,2.2435,3710.9375,8325.3193
261167639,2.2962,3750.0000,8610.9053
261167679,2.1643,3730.4688,8073.7554
261167719,2.2962,3750.0000,8610.9053
261167758,2.2171,3730.4688,8270.6758
261167798,2.2962,3735.3516,8577.2695
261167837,2.1907,3759.7656,8236.3955
261167877,2.1907,3710.9375,8129.4287
261167917,2.0851,3745.1172,7808.9175
261167955,2.2171,3715.8203,8238.1992
261167995,2.2171,3754.8828,8324.8037
261168034,2.1907,3715.8203,8140.1255
261168074,2.2171,3740.2344,8292.3271
261168114,2.1379,3720.7031,7954.4170
261168153,2.2962,3754.8828,8622.1182
261168193,2.2171,3745.1172,8303.1523
261168232,2.2698,3725.5859,8456.5137
261168272,2.2435,3745.1172,8402.0000
261168312,2.2698,3730.4688,8467.5967
261168351,2.2171,3701.1719,8205.7227
261168391,2.3490,3720.7031,8740.0391
261168430,2.2435,3745.1172,8402.0000
261168470,2.1907,3710.9375,8129.4287
261168508,2.2435,3759.7656,8434.8633
261168548,2.2171,3740.2344,8292.3271
261168588,2.2435,3735.3516,8380.0908
261168627,2.3226,3735.3516,8675.8594
261168667,2.2435,3730.4688,8369.1367
261168706,2.2171,3740.2344,8292.3271
261168746,2.0587,3715.8203,7649.7568
261168786,2.2435,3759.7656,8434.8633
261168825,2.2171,3730.4688,8270.6758
261168865,2.2698,3769.5313,8556.2627
261168904,2.1907,3730.4688,8172.2153
261168944,2.1907,3750.0000,8215.0020
261168984,2.1643,3740.2344,8094.8911
261169022,2.2435,3720.7031,8347.2275
261169062,2.2698,3750.0000,8511.9297
261169101,2.2435,3740.2344,8391.0459
261169141,2.3490,3745.1172,8797.3887
261169181,2.1907,3730.4688,8172.2153
261169220,2.1907,3750.0000,8215.0020
261169260,2.1907,3730.4688,8172.2153
261169299,2.2435,3740.2344,8391.0459
261169339,2.2171,3730.4688,8270.6758
261169379,2.1643,3720.7031,8052.6201
261169418,2.2698,3754.8828,8523.0127
261169458,2.3754,3715.8203,8826.6426
261169497,2.2698,3750.0000,8511.9297
261169537,2.3754,3720.7031,8838.2412
261169576,2.1907,3715.8203,8140.1255
261169615,2.2435,3779.2969,8478.6807
261169655,2.1907,3735.3516,8182.9121
261169694,2.1907,3740.2344,8193.6084
261169734,2.1907,3735.3516,8182.9121
261169773,2.2435,3759.7656,8434.8633
261169813,2.2962,3730.4688,8566.0576
261169853,2.3226,3750.0000,8709.8818
261169892,2.1379,3735.3516,7985.7339
261169932,2.1907,3740.2344,8193.6084
261169971,2.2698,3740.2344,8489.7627
261170011,2.2171,3720.7031,8249.0254
261170051,2.2171,3745.1172,8303.1523
261170089,2.2171,3706.0547,8216.5488
261170129,2.2435,3745.1172,8402.0000
261170168,2.3226,3725.5859,8653.1768
261170208,2.2171,3754.8828,8324.8037
261170248,2.3490,3730.4688,8762.9785
261170287,2.3226,3735.3516,8675.8594
261170327,2.2171,3735.3516,8281.5020
261170366,2.1907,3735.3516,8182.9121
261170406,2.1643,3759.7656,8137.1621
261170446,2.2435,3720.7031,8347.2275
261170485,2.2435,3759.7656,8434.8633
261170525,2.1643,3730.4688,8073.7554
261170564,2.1115,3754.8828,7928.3843
261170604,2.2435,3745.1172,8402.0000
261170643,2.1907,3740.2344,8193.6084
261170682,2.2171,3750.0000,8313.9775
261170722,2.1907,3720.7031,8150.8223
261170761,2.1379,3750.0000,8017.0503
261170801,2.2435,3730.4688,8369.1367
261170841,2.1643,3730.4688,8073.7554
261170880,2.2171,3725.5859,8259.8506
261170920,2.1907,3740.2344,8193.6084
261170959,2.2435,3745.1172,8402.0000
261170999,2.1907,3725.5859,8161.5186
261171038,2.2171,3754.8828,8324.8037
261171078,2.1907,3720.7031,8150.8223
261171118,2.1907,3759.7656,8236.3955
261171156,2.1907,3720.7031,8150.8223
261171196,2.2962,3740.2344,8588.4814
261171235,2.2962,3730.4688,8566.0576
261171275,2.1379,3730.4688,7975.2949
261171315,2.1907,3759.7656,8236.3955
261171354,2.1907,3740.2344,8193.6084
261171394,2.1379,3754.8828,8027.4893
261171433,2.1643,3735.3516,8084.3232
261171473,2.2698,3745.1172,8500.8467
261171513,2.3490,3725.5859,8751.5088
261171552,2.1907,3750.0000,8215.0020
261171592,2.2435,3745.1172,8402.0000
261171631,2.2171,3735.3516,8281.5020
261171671,2.3490,3754.8828,8820.3281
261171710,2.2171,3710.9375,8227.3740
261171749,2.2171,3750.0000,8313.9775
261171789,2.0851,3720.7031,7758.0122
261171828,2.1643,3740.2344,8094.8911
261171868,2.1907,3754.8828,8225.6982
261171908,2.0851,3652.3438,7615.4766
261171947,2.1907,3750.0000,8215.0020
261171987,2.1907,3735.3516,8182.9121
261172026,2.0851,3759.7656,7839.4609
261172066,2.1907,3730.4688,8172.2153
261172106,2.3226,3730.4688,8664.5176
261172145,2.1115,3750.0000,7918.0742
261172185,2.1379,3730.4688,7975.2949
261172224,2.1379,3750.0000,8017.0503
261172263,2.1643,3706.0547,8020.9170
261172302,2.1907,3740.2344,8193.6084
261172342,2.2171,3706.0547,8216.5488
261172382,2.2698,3740.2344,8489.7627
261172421,2.2435,3735.3516,8380.0908
261172461,2.1907,3720.7031,8150.8223
261172500,2.1907,3745.1172,8204.3057
261172540,2.2435,3720.7031,8347.2275
261172580,2.2698,3740.2344,8489.7627
261172619,2.2171,3715.8203,8238.1992
261172659,2.1907,3759.7656,8236.3955
261172698,2.1379,3696.2891,7902.2227
