8,4038.??9,76.569
357208335,2.3226,3750.0000,8709.8818
357208374,2.4018,3715.8203,8924.7158
357208414,2.4282,3720.7031,9034.6465
357208453,2.2962,3720.7031,8543.6328
357208493,2.4546,3715.8203,9120.8633
357208531,2.2698,3725.5859,8456.5137
357208571,2.1643,3754.8828,8126.5942
357208611,2.1115,3769.5313,7959.3140
357208650,2.1379,3774.4141,8069.2446
357208690,2.1115,3774.4141,7969.6240
357208729,1.8739,3803.7109,7127.9424
357208769,1.7684,3754.8828,6640.0220
357208809,2.0587,3784.1797,7790.4883
357208848,2.0323,3759.7656,7640.9932
357208888,2.0323,3798.8281,7720.3799
357208927,2.2171,3769.5313,8357.2803
357208967,2.3226,3720.7031,8641.8359
357209007,2.3226,3745.1172,8698.5410
357209046,2.3226,3745.1172,8698.5410
357209085,2.4282,3701.1719,8987.2207
357209124,2.4282,3710.9375,9010.9336
357209164,2.2962,3730.4688,8566.0576
357209204,2.2962,3750.0000,8610.9053
357209243,2.3226,3745.1172,8698.5410
357209283,2.2435,3745.1172,8402.0000
357209322,2.1115,3774.4141,7969.6240
357209362,2.1115,3774.4141,7969.6240
357209402,2.1379,3745.1172,8006.6113
357209441,2.1115,3769.5313,7959.3140
357209481,2.1115,3798.8281,8021.1738
357209520,2.0323,3764.6484,7650.9165
357209560,2.1643,3750.0000,8116.0264
357209600,2.1907,3754.8828,8225.6982
357209638,2.1907,3759.7656,8236.3955
357209678,2.4282,3701.1719,8987.2207
357209717,2.4018,3740.2344,8983.3545
357209757,2.4810,3720.7031,9231.0518
357209796,2.2962,3735.3516,8577.2695
357209836,2.4018,3715.8203,8924.7158
357209876,2.2698,3735.3516,8478.6797
357209915,2.2435,3754.8828,8423.9082
357209955,2.1379,3769.5313,8058.8057
357209994,2.2435,3730.4688,8369.1367
357210034,1.9531,3798.8281,7419.5859
357210074,1.8212,3808.5938,6936.0474
357210113,2.0059,3774.4141,7571.1426
357210152,2.0587,3759.7656,7740.2271
357210191,1.9531,3793.9453,7410.0493
357210231,2.0323,3759.7656,7640.9932
357210271,2.2435,3549.8047,7963.8252
357210310,2.3226,3754.8828,8721.2227
357210350,2.4018,3735.3516,8971.6270
357210389,2.3754,3725.5859,8849.8398
357210429,2.4546,3730.4688,9156.8193
357210469,2.4546,3706.0547,9096.8926
357210508,2.3226,3740.2344,8687.2002
357210548,2.2962,3725.5859,8554.8447
357210587,2.3754,3701.1719,8791.8457
357210627,2.4018,3745.1172,8995.0820
357210667,2.1115,3759.7656,7938.6943
357210705,2.1379,3740.2344,7996.1724
357210745,2.2962,3740.2344,8588.4814
357210784,2.1907,3735.3516,8182.9121
357210824,2.1115,3735.3516,7887.1440
357210864,2.1907,3740.2344,8193.6084
357210903,2.1643,3725.5859,8063.1880
357210943,2.0323,3759.7656,7640.9932
357210982,1.9795,3793.9453,7510.1851
357211022,2.0323,3833.0078,7789.8438
357211061,2.2171,3735.3516,8281.5020
357211101,2.1643,3759.7656,8137.1621
357211141,2.2962,3745.1172,8599.6934
357211180,2.2962,3706.0547,8509.9971
357211219,2.3754,3730.4688,8861.4385
357211258,2.2171,3764.6484,8346.4541
357211298,2.2435,3710.9375,8325.3193
357211338,2.3754,3740.2344,8884.6357
357211377,2.2698,3735.3516,8478.6797
357211417,2.3226,3725.5859,8653.1768
357211456,2.2171,3847.6563,8530.4883
357211496,2.4546,3735.3516,9168.8047
357211536,2.2171,3764.6484,8346.4541
357211575,2.3490,3745.1172,8797.3887
357211615,2.1379,3750.0000,8017.0503
357211654,2.2435,3735.3516,8380.0908
357211694,2.0587,3798.8281,7820.6450
357211734,2.1115,3759.7656,7938.6943
357211772,2.1379,3735.3516,7985.7339
357211812,2.4018,3740.2344,8983.3545
357211851,2.3490,3730.4688,8762.9785
357211891,2.2435,3715.8203,8336.2734
357211931,2.2171,3750.0000,8313.9775
357211970,2.2171,3764.6484,8346.4541
357212010,2.1379,3735.3516,7985.7339
357212049,2.2962,3745.1172,8599.6934
357212089,2.3754,3740.2344,8884.6357
357212129,2.2171,3764.6484,8346.4541
357212168,2.2698,3745.1172,8500.8467
357212208,2.4018,3735.3516,8971.6270
357212247,2.2962,3735.3516,8577.2695
357212286,2.2435,3774.4141,8467.7256
357212325,2.0587,3769.5313,7760.3315
357212365,2.1907,3740.2344,8193.6084
357212405,2.2435,3754.8828,8423.9082
357212444,2.3226,3730.4688,8664.5176
357212484,2.2435,3715.8203,8336.2734
357212523,2.3226,3725.5859,8653.1768
357212563,2.0587,3793.9453,7810.5928
357212603,2.1379,3730.4688,7975.2949
357212642,2.2435,3740.2344,8391.0459
357212682,2.1643,3745.1172,8105.4590
357212721,2.1643,3754.8828,8126.5942
357212761,2.0587,3789.0625,7800.5405
357212801,2.2435,3764.6484,8445.8174
357212839,2.1115,3774.4141,7969.6240
357212879,2.1643,3735.3516,8084.3232
357212918,2.3490,3730.4688,8762.9785
357212958,2.3490,3706.0547,8705.6289
357212998,2.2962,3715.8203,8532.4209
357213037,2.2435,3754.8828,8423.9082
357213077,2.4282,3720.7031,9034.6465
357213116,2.3226,3715.8203,8630.4951
357213156,2.3754,3754.8828,8919.4326
357213196,2.2962,3710.9375,8521.2090
357213235,2.3226,3740.2344,8687.2002
357213275,2.2698,3754.8828,8523.0127
357213314,2.2698,3740.2344,8489.7627
357213353,2.3490,3735.3516,8774.4482
357213393,2.1643,3754.8828,8126.5942
357213432,2.2171,3730.4688,8270.6758
357213472,2.1643,3730.4688,8073.7554
357213511,2.1907,3764.6484,8247.0918
357213551,2.1907,3764.6484,8247.0918
357213590,2.1643,3759.7656,8137.1621
357213630,2.0323,3750.0000,7621.1465
357213670,2.2171,3769.5313,8357.2803
357213709,1.9531,3764.6484,7352.8291
357213749,2.1379,3750.0000,8017.0503
357213788,2.2171,3764.6484,8346.4541
357213828,2.2171,3745.1172,8303.1523
357213868,2.1907,3740.2344,8193.6084
357213906,2.2698,3754.8828,8523.0127
