6872	r??S,438.0859,959.2159
33514428,2.2698,3793.9453,8611.6787
33514467,2.4018,3769.5313,9053.7197
33514505,2.2435,3754.8828,8423.9082
33514544,2.2962,3793.9453,8711.8145
33514582,2.4018,3754.8828,9018.5371
33514620,2.1907,3798.8281,8321.9678
33514659,2.1907,3789.0625,8300.5752
33514697,2.2171,3774.4141,8368.1055
33514736,2.1379,3798.8281,8121.4390
33514774,2.2698,3769.5313,8556.2627
33514813,2.4018,3789.0625,9100.6309
33514852,2.2962,3784.1797,8689.3906
33514890,2.3754,3764.6484,8942.6299
33514929,2.2435,3803.7109,8533.4521
33514967,2.3754,3759.7656,8931.0313
33515005,2.1907,3779.2969,8279.1816
33515043,2.2698,3764.6484,8545.1797
33515082,2.4546,3774.4141,9264.6875
33515121,2.3490,3779.2969,8877.6777
33515159,2.3226,3754.8828,8721.2227
33515198,2.3226,3789.0625,8800.6094
33515236,2.2698,3793.9453,8611.6787
33515275,2.2962,3754.8828,8622.1182
33515313,2.2435,3779.2969,8478.6807
33515352,2.2698,3750.0000,8511.9297
33515390,2.3754,3793.9453,9012.2217
33515428,2.2962,3803.7109,8734.2393
33515467,2.2435,3774.4141,8467.7256
33515505,2.1907,3793.9453,8311.2715
33515544,2.1907,3759.7656,8236.3955
33515582,2.3226,3793.9453,8811.9512
33515621,2.2171,3774.4141,8368.1055
33515660,2.2435,3759.7656,8434.8633
33515698,2.1907,3789.0625,8300.5752
33515737,2.1643,3759.7656,8137.1621
33515774,2.2435,3789.0625,8500.5889
33515813,2.1379,3789.0625,8100.5610
33515852,2.2171,3769.5313,8357.2803
33515890,2.2698,3793.9453,8611.6787
33515929,2.2435,3754.8828,8423.9082
33515967,2.2435,3793.9453,8511.5439
33516006,2.3226,3764.6484,8743.9053
33516044,2.3490,3769.5313,8854.7373
33516083,2.4018,3793.9453,9112.3584
33516122,2.2962,3745.1172,8599.6934
33516160,2.3490,3784.1797,8889.1475
33516198,2.2171,3784.1797,8389.7568
33516236,2.2962,3774.4141,8666.9658
33516275,2.2171,3798.8281,8422.2334
33516313,2.2435,3764.6484,8445.8174
33516352,2.2171,3798.8281,8422.2334
33516391,2.0851,3784.1797,7890.3667
33516429,2.1907,3793.9453,8311.2715
33516468,2.1643,3823.2422,8274.5430
33516506,2.1907,3774.4141,8268.4854
33516545,2.1907,3793.9453,8311.2715
33516583,2.2698,3759.7656,8534.0957
33516621,2.2698,3769.5313,8556.2627
33516660,2.2698,3784.1797,8589.5117
33516698,2.3226,3754.8828,8721.2227
33516737,2.2698,3784.1797,8589.5117
33516775,2.2962,3769.5313,8655.7539
33516814,2.1907,3779.2969,8279.1816
33516853,2.2171,3803.7109,8433.0586
33516891,2.1907,3769.5313,8257.7881
33516930,2.2698,3798.8281,8622.7617
33516967,2.2171,3779.2969,8378.9307
33517006,2.2435,3769.5313,8456.7715
33517044,2.2171,3793.9453,8411.4072
33517083,2.1907,3754.8828,8225.6982
33517122,2.2698,3784.1797,8589.5117
33517160,2.1379,3779.2969,8079.6836
33517199,2.2435,3774.4141,8467.7256
33517237,2.2962,3808.5938,8745.4512
33517276,2.2698,3754.8828,8523.0127
33517315,2.2435,3789.0625,8500.5889
33517352,2.2435,3774.4141,8467.7256
33517391,2.2698,3779.2969,8578.4287
33517429,2.2962,3789.0625,8700.6025
33517468,2.2171,3754.8828,8324.8037
33517506,2.1907,3793.9453,8311.2715
33517545,2.1907,3774.4141,8268.4854
33517584,2.2435,3784.1797,8489.6348
33517622,2.1643,3808.5938,8242.8398
33517661,2.1379,3769.5313,8058.8057
33517699,2.1643,3784.1797,8190.0005
33517737,2.2698,3779.2969,8578.4287
33517775,2.3226,3764.6484,8743.9053
33517814,2.3490,3793.9453,8912.0869
33517853,2.2171,3774.4141,8368.1055
33517891,2.1907,3789.0625,8300.5752
33517930,2.2962,3789.0625,8700.6025
33517968,2.2962,3779.2969,8678.1787
33518007,2.3490,3789.0625,8900.6172
33518045,2.2435,3745.1172,8402.0000
33518084,2.4018,3779.2969,9077.1748
33518123,2.4018,3784.1797,9088.9033
33518160,2.2698,3774.4141,8567.3457
33518199,2.1907,3793.9453,8311.2715
33518237,2.2435,3789.0625,8500.5889
33518276,2.1907,3779.2969,8279.1816
33518315,2.2698,3798.8281,8622.7617
33518353,2.1643,3759.7656,8137.1621
33518392,2.1115,3803.7109,8031.4839
33518430,2.1115,3774.4141,7969.6240
33518469,2.2962,3764.6484,8644.5420
33518507,2.2171,3779.2969,8378.9307
33518545,2.3226,3764.6484,8743.9053
33518584,2.2698,3784.1797,8589.5117
33518622,2.2171,3759.7656,8335.6289
33518661,2.2698,3769.5313,8556.2627
33518699,2.2171,3798.8281,8422.2334
33518738,2.3226,3745.1172,8698.5410
33518776,2.3226,3789.0625,8800.6094
33518815,2.2171,3769.5313,8357.2803
33518854,2.2962,3779.2969,8678.1787
33518892,2.2962,3793.9453,8711.8145
33518930,2.2435,3754.8828,8423.9082
33518968,2.2698,3793.9453,8611.6787
33519007,2.1379,3774.4141,8069.2446
33519046,2.1379,3774.4141,8069.2446
33519084,2.1643,3789.0625,8200.5684
33519123,2.1907,3759.7656,8236.3955
33519161,2.2698,3784.1797,8589.5117
33519200,2.2171,3774.4141,8368.1055
33519238,2.2435,3784.1797,8489.6348
33519277,2.2698,3793.9453,8611.6787
33519315,2.2435,3764.6484,8445.8174
33519353,2.3490,3779.2969,8877.6777
33519392,2.2435,3774.4141,8467.7256
33519430,2.2698,3774.4141,8567.3457
33519469,2.2171,3798.8281,8422.2334
33519507,2.2435,3774.4141,8467.7256
33519546,2.2698,3793.9453,8611.6787
33519585,2.2962,3774.4141,8666.9658
33519623,2.1907,3779.2969,8279.1816
33519662,2.1379,3803.7109,8131.8779
33519699,2.2171,3764.6484,8346.4541
33519738,2.2698,3808.5938,8644.9287
33519777,2.2698,3769.5313,8556.2627
33519815,2.2171,3779.2969,8378.9307
33519854,2.2698,3789.0625,8600.5957
33519892,2.2698,3754.8828,8523.0127
33519931,2.2962,3793.9453,8711.8145
33519969,2.3754,3750.0000,8907.8330
33520008,2.2435,3769.5313,8456.7715
33520047,2.2435,3789.0625,8500.5889
33520084,2.2962,3764.6484,8644.5420
33520123,2.1643,3803.7109,8232.2715
33520161,2.1907,3759.7656,8236.3955
33520200,2.2962,3764.6484,8644.5420
33520238,2.2698,3774.4141,8567.3457
33520277,2.3490,3745.1172,8797.3887
33520316,2.3490,3779.2969,8877.6777
33520354,2.2435,3750.0000,8412.9541
33520393,2.3226,3774.4141,8766.5869
33520431,2.2962,3779.2969,8678.1787
33520470,2.2171,3745.1172,8303.1523
33520507,2.0851,3784.1797,7890.3667
33520546,2.1379,3769.5313,8058.8057
33520585,2.2171,3769.5313,8357.2803
33520623,2.1115,3798.8281,8021.1738
33520662,2.2435,3764.6484,8445.8174
33520700,2.2171,3769.5313,8357.2803
33520739,2.1643,3769.5313,8158.2974
33520778,2.3226,3774.4141,8766.5869
33520816,2.4282,3784.1797,9188.7813
33520855,2.4282,3745.1172,9093.9297
33520892,2.4018,3779.2969,9077.1748
33520931,2.4282,3769.5313,9153.2119
33520969,2.2435,3774.4141,8467.7256
33521008,2.2698,3798.8281,8622.7617
33521047,2.1643,3764.6484,8147.7300
33521085,2.2962,3798.8281,8723.0273
33521124,2.2435,3784.1797,8489.6348
33521162,2.2698,3789.0625,8600.5957
33521201,2.1907,3789.0625,8300.5752
33521239,2.1115,3769.5313,7959.3140
33521277,2.1379,3803.7109,8131.8779
33521316,2.2962,3774.4141,8666.9658
33521354,2.3754,3774.4141,8965.8271
33521393,2.3754,3774.4141,8965.8271
33521431,2.1643,3764.6484,8147.7300
33521470,2.1907,3779.2969,8279.1816
33521509,2.2171,3759.7656,8335.6289
33521547,2.1907,3798.8281,8321.9678
33521586,2.2435,3793.9453,8511.5439
33521624,2.2698,3764.6484,8545.1797
33521662,2.2698,3789.0625,8600.5957
33521700,2.2698,3769.5313,8556.2627
33521739,2.2435,3774.4141,8467.7256
33521778,2.2435,3789.0625,8500.5889
33521816,2.2435,3769.5313,8456.7715
33521855,2.1907,3784.1797,8289.8779
33521893,2.2171,3764.6484,8346.4541
33521932,2.2698,3789.0625,8600.5957
33521970,2.2698,3769.5313,8556.2627
33522009,2.2435,3759.7656,8434.8633
33522048,2.2171,3789.0625,8400.5820
33522085,2.3226,3750.0000,8709.8818
33522124,2.2435,3784.1797,8489.6348
33522162,2.1907,3769.5313,8257.7881
33522201,2.2435,3774.4141,8467.7256
33522240,2.2698,3789.0625,8600.5957
33522278,2.2435,3759.7656,8434.8633
33522317,2.1907,3798.8281,8321.9678
33522355,2.2171,3764.6484,8346.4541
33522394,2.1907,3789.0625,8300.5752
33522432,2.2962,3784.1797,8689.3906
33522470,2.2171,3764.6484,8346.4541
