34393??b?r&?1,4067.3828,1395.5864
343956164,2.3490,3789.0625,8900.6172
343956204,2.2435,3784.1797,8489.6348
343956244,2.2435,3774.4141,8467.7256
343956283,2.2171,3759.7656,8335.6289
343956323,2.1379,3823.2422,8173.6333
343956362,2.1643,3774.4141,8168.8652
343956402,2.2962,3789.0625,8700.6025
343956442,2.4018,3759.7656,9030.2646
343956481,2.5074,3759.7656,9427.2002
343956520,2.4018,3754.8828,9018.5371
343956559,2.4546,3764.6484,9240.7168
343956599,2.2962,3779.2969,8678.1787
343956639,2.3226,3764.6484,8743.9053
343956678,2.4018,3769.5313,9053.7197
343956718,2.3754,3759.7656,8931.0313
343956757,2.4282,3774.4141,9165.0684
343956797,2.4018,3764.6484,9041.9922
343956836,2.2698,3759.7656,8534.0957
343956876,2.3226,3769.5313,8755.2461
343956916,2.4282,3779.2969,9176.9248
343956955,2.3490,3759.7656,8831.7979
343956995,2.3226,3784.1797,8789.2686
343957033,2.3490,3759.7656,8831.7979
343957073,2.3226,3813.4766,8857.3145
343957113,2.2698,3754.8828,8523.0127
343957152,2.4282,3774.4141,9165.0684
343957192,2.3754,3735.3516,8873.0371
343957231,2.3226,3784.1797,8789.2686
343957271,2.2698,3759.7656,8534.0957
343957311,2.2171,3798.8281,8422.2334
343957350,2.2435,3735.3516,8380.0908
343957390,2.2435,3803.7109,8533.4521
343957429,2.4546,3769.5313,9252.7021
343957469,2.3226,3784.1797,8789.2686
343957509,2.2962,3750.0000,8610.9053
343957548,2.1907,3793.9453,8311.2715
343957587,2.1643,3779.2969,8179.4331
343957626,2.2698,3798.8281,8622.7617
343957666,2.2962,3750.0000,8610.9053
343957706,2.4282,3764.6484,9141.3555
343957745,2.4018,3745.1172,8995.0820
343957785,2.2962,3789.0625,8700.6025
343957824,2.3226,3750.0000,8709.8818
343957864,2.5338,3769.5313,9551.1768
343957904,2.4018,3730.4688,8959.8994
343957943,2.4810,3759.7656,9327.9658
343957983,2.3490,3754.8828,8820.3281
343958022,2.3490,3784.1797,8889.1475
343958062,2.3226,3774.4141,8766.5869
343958100,2.3226,3710.9375,8619.1543
343958140,2.2962,3774.4141,8666.9658
343958180,2.3490,3774.4141,8866.2070
343958219,2.3754,3754.8828,8919.4326
343958259,2.3226,3779.2969,8777.9277
343958298,2.2962,3774.4141,8666.9658
343958338,2.2698,3764.6484,8545.1797
343958378,2.3490,3759.7656,8831.7979
343958417,2.4282,3764.6484,9141.3555
343958457,2.5074,3759.7656,9427.2002
343958496,2.4018,3745.1172,8995.0820
343958536,2.2962,3789.0625,8700.6025
343958576,2.2962,3764.6484,8644.5420
343958615,2.2698,3784.1797,8589.5117
343958654,2.2962,3769.5313,8655.7539
343958693,2.2962,3784.1797,8689.3906
343958733,2.1907,3774.4141,8268.4854
