,4062.5000,750.5675
84667239,2.2698,3823.2422,8678.1777
84667278,2.1379,3808.5938,8142.3169
84667316,2.1907,3837.8906,8407.5410
84667355,2.1907,3784.1797,8289.8779
84667393,2.3490,3808.5938,8946.4961
84667431,2.2962,3789.0625,8700.6025
84667469,2.4018,3793.9453,9112.3584
84667508,2.2171,3803.7109,8433.0586
84667547,2.2435,3789.0625,8500.5889
84667585,2.2435,3828.1250,8588.2236
84667624,2.2435,3779.2969,8478.6807
84667662,2.2171,3813.4766,8454.7090
84667701,2.2171,3798.8281,8422.2334
84667739,2.3490,3789.0625,8900.6172
84667778,2.2698,3808.5938,8644.9287
84667816,2.3226,3774.4141,8766.5869
84667854,2.3226,3808.5938,8845.9736
84667893,2.2698,3774.4141,8567.3457
84667931,2.3226,3808.5938,8845.9736
84667970,2.2962,3789.0625,8700.6025
84668009,2.2171,3803.7109,8433.0586
84668047,2.2171,3823.2422,8476.3604
84668086,2.1907,3798.8281,8321.9678
84668124,2.2171,3823.2422,8476.3604
84668163,2.2435,3784.1797,8489.6348
84668200,2.1907,3808.5938,8343.3613
84668239,2.2698,3774.4141,8567.3457
84668278,2.2435,3798.8281,8522.4980
84668316,2.3490,3808.5938,8946.4961
84668355,2.2435,3764.6484,8445.8174
84668393,2.2962,3798.8281,8723.0273
84668432,2.3490,3769.5313,8854.7373
84668470,2.2698,3808.5938,8644.9287
84668509,2.3754,3798.8281,9023.8213
84668548,2.3226,3793.9453,8811.9512
84668585,2.2698,3818.3594,8667.0947
84668624,2.1907,3779.2969,8279.1816
84668662,2.2962,3803.7109,8734.2393
84668701,2.2435,3784.1797,8489.6348
84668739,2.3226,3793.9453,8811.9512
84668778,2.1643,3813.4766,8253.4072
84668817,2.2698,3793.9453,8611.6787
84668855,2.1115,3828.1250,8083.0342
84668894,2.2171,3784.1797,8389.7568
84668932,2.1907,3803.7109,8332.6650
84668971,2.2171,3779.2969,8378.9307
84669009,2.2698,3808.5938,8644.9287
84669047,2.2435,3818.3594,8566.3154
84669086,2.1907,3813.4766,8354.0576
84669124,2.4018,3823.2422,9182.7236
84669163,2.3490,3769.5313,8854.7373
84669201,2.4282,3789.0625,9200.6377
84669240,2.3490,3774.4141,8866.2070
84669279,2.4018,3793.9453,9112.3584
84669317,2.4282,3798.8281,9224.3506
84669356,2.4282,3779.2969,9176.9248
84669393,2.2962,3808.5938,8745.4512
84669432,2.3226,3789.0625,8800.6094
84669470,2.1379,3808.5938,8142.3169
84669509,2.1643,3808.5938,8242.8398
84669548,2.1379,3798.8281,8121.4390
84669586,2.1907,3808.5938,8343.3613
84669625,2.1907,3798.8281,8321.9678
84669663,2.2171,3823.2422,8476.3604
84669702,2.2698,3779.2969,8578.4287
84669741,2.2698,3808.5938,8644.9287
84669778,2.3226,3789.0625,8800.6094
84669817,2.2698,3803.7109,8633.8447
84669855,2.3754,3803.7109,9035.4199
84669894,2.3490,3784.1797,8889.1475
84669932,2.2435,3808.5938,8544.4063
84669971,2.2698,3769.5313,8556.2627
84670010,2.2435,3808.5938,8544.4063
84670048,2.3754,3774.4141,8965.8271
84670087,2.3754,3803.7109,9035.4199
84670125,2.2435,3808.5938,8544.4063
84670163,2.3226,3779.2969,8777.9277
84670201,2.3490,3813.4766,8957.9668
84670240,2.2171,3774.4141,8368.1055
84670279,2.1907,3818.3594,8364.7549
84670317,2.3226,3789.0625,8800.6094
