
101784??	r?84,4003.9063,739.7420
101807156,2.3226,3764.6484,8743.9053
101807195,2.2171,3769.5313,8357.2803
101807235,2.2698,3735.3516,8478.6797
101807273,2.2435,3750.0000,8412.9541
101807313,2.2435,3750.0000,8412.9541
101807353,2.2435,3759.7656,8434.8633
101807392,2.2962,3735.3516,8577.2695
101807432,2.0851,3750.0000,7819.0986
101807471,2.1907,3774.4141,8268.4854
101807511,2.1643,3774.4141,8168.8652
101807551,2.1115,3754.8828,7928.3843
101807590,2.0851,3754.8828,7829.2798
101807630,2.1907,3769.5313,8257.7881
101807669,2.1643,3769.5313,8158.2974
101807709,2.1907,3740.2344,8193.6084
101807749,2.1907,3759.7656,8236.3955
101807788,2.2171,3764.6484,8346.4541
101807827,2.1907,3759.7656,8236.3955
101807866,2.1643,3730.4688,8073.7554
101807906,2.2435,3759.7656,8434.8633
101807946,2.4018,3764.6484,9041.9922
101807985,2.3490,3735.3516,8774.4482
101808025,2.4282,3715.8203,9022.7900
101808064,2.2962,3720.7031,8543.6328
101808104,2.2698,3750.0000,8511.9297
101808144,2.2171,3754.8828,8324.8037
101808183,2.1379,3735.3516,7985.7339
101808223,2.0323,3764.6484,7650.9165
101808262,2.0587,3789.0625,7800.5405
101808302,2.0587,3764.6484,7750.2793
101808342,2.0851,3750.0000,7819.0986
101808380,2.0059,3764.6484,7551.5537
101808420,2.2435,3774.4141,8467.7256
101808459,2.2962,3754.8828,8622.1182
101808499,2.3754,3735.3516,8873.0371
101808538,2.3226,3735.3516,8675.8594
101808578,2.4546,3740.2344,9180.7900
101808618,2.3754,3754.8828,8919.4326
101808657,2.4018,3710.9375,8912.9883
101808697,2.3490,3735.3516,8774.4482
101808736,2.1643,3750.0000,8116.0264
101808776,2.2698,3764.6484,8545.1797
101808816,2.1379,3754.8828,8027.4893
101808855,2.0587,3740.2344,7700.0181
101808894,2.1379,3754.8828,8027.4893
101808933,2.2171,3779.2969,8378.9307
101808973,2.2435,3754.8828,8423.9082
101809013,2.1379,3730.4688,7975.2949
101809052,2.2698,3730.4688,8467.5967
101809092,2.3754,3754.8828,8919.4326
101809131,2.4282,3740.2344,9082.0732
101809171,2.3754,3725.5859,8849.8398
101809211,2.2698,3745.1172,8500.8467
101809250,2.2171,3754.8828,8324.8037
101809290,2.1379,3774.4141,8069.2446
101809329,2.1643,3730.4688,8073.7554
101809369,2.1643,3754.8828,8126.5942
101809409,2.1643,3769.5313,8158.2974
101809447,2.1115,3769.5313,7959.3140
101809487,2.0851,3745.1172,7808.9175
101809526,2.0323,3779.2969,7680.6865
101809566,2.0059,3798.8281,7620.1152
101809606,2.0587,3769.5313,7760.3315
101809645,2.1115,3750.0000,7918.0742
101809685,2.2435,3764.6484,8445.8174
101809724,2.4018,3740.2344,8983.3545
101809764,2.6130,3710.9375,9696.5488
101809803,2.5866,3701.1719,9573.3438
101809843,2.6921,3686.5234,9924.6572
101809883,2.4810,3686.5234,9146.2520
101809922,2.4282,3735.3516,9070.2168
101809961,2.2435,3740.2344,8391.0459
101810000,2.0587,3779.2969,7780.4360
101810040,1.9795,3774.4141,7471.5225
101810080,1.9267,3779.2969,7281.6904
101810119,1.8739,3798.8281,7118.7925
101810159,1.9531,3798.8281,7419.5859
101810198,1.9531,3754.8828,7333.7554
101810238,2.0323,3759.7656,7640.9932
101810278,2.1115,3779.2969,7979.9341
101810317,2.1643,3774.4141,8168.8652
101810357,2.1643,3720.7031,8052.6201
101810396,2.3226,3730.4688,8664.5176
101810436,2.3490,3745.1172,8797.3887
101810476,2.5074,3735.3516,9365.9844
101810514,2.5602,3715.8203,9513.1592
101810554,2.4810,3701.1719,9182.5947
101810593,2.3490,3735.3516,8774.4482
101810633,2.1643,3764.6484,8147.7300
101810673,2.2171,3769.5313,8357.2803
101810712,2.0587,3750.0000,7720.1226
101810752,2.1379,3754.8828,8027.4893
101810791,2.1643,3774.4141,8168.8652
101810831,2.1379,3789.0625,8100.5610
101810871,2.1115,3754.8828,7928.3843
101810910,2.0851,3745.1172,7808.9175
101810950,2.1907,3769.5313,8257.7881
101810989,2.2171,3764.6484,8346.4541
101811028,2.1907,3715.8203,8140.1255
