969,0.2?????L?969,863.9774
288221769,2.1643,3798.8281,8221.7041
288221809,2.1115,3818.3594,8062.4141
288221848,2.0587,3793.9453,7810.5928
288221888,2.0323,3818.3594,7760.0737
288221928,2.0323,3803.7109,7730.3037
288221967,2.1907,3813.4766,8354.0576
288222007,2.1115,3813.4766,8052.1040
288222046,2.1379,3793.9453,8111.0000
288222086,2.2171,3793.9453,8411.4072
288222126,2.3226,3779.2969,8777.9277
288222164,2.3226,3784.1797,8789.2686
288222204,2.3226,3779.2969,8777.9277
288222243,2.4018,3803.7109,9135.8135
288222283,2.1907,3769.5313,8257.7881
288222323,2.2171,3793.9453,8411.4072
288222362,2.1379,3769.5313,8058.8057
288222402,2.1907,3823.2422,8375.4512
288222441,2.0851,3813.4766,7951.4531
288222481,2.1115,3813.4766,8052.1040
288222521,2.0851,3793.9453,7910.7290
288222560,2.1115,3808.5938,8041.7939
288222600,2.1907,3793.9453,8311.2715
288222639,2.1379,3779.2969,8079.6836
288222679,2.1907,3798.8281,8321.9678
288222717,2.2171,3789.0625,8400.5820
288222757,2.1115,3818.3594,8062.4141
288222797,2.1379,3803.7109,8131.8779
288222836,2.0587,3833.0078,7891.0107
288222876,2.0587,3823.2422,7870.9063
288222915,2.0323,3823.2422,7769.9971
288222955,2.0323,3793.9453,7710.4565
288222995,2.1115,3823.2422,8072.7241
288223034,2.1115,3793.9453,8010.8643
288223074,2.1115,3803.7109,8031.4839
288223113,2.0851,3813.4766,7951.4531
288223153,2.1115,3798.8281,8021.1738
288223193,2.1643,3808.5938,8242.8398
288223232,2.1379,3779.2969,8079.6836
288223271,2.1907,3803.7109,8332.6650
288223310,2.1643,3784.1797,8190.0005
288223350,2.1643,3813.4766,8253.4072
288223390,2.2171,3784.1797,8389.7568
288223429,2.1115,3813.4766,8052.1040
288223469,1.9795,3793.9453,7510.1851
288223508,2.1907,3818.3594,8364.7549
288223548,2.1379,3784.1797,8090.1226
288223588,2.1907,3803.7109,8332.6650
288223627,2.2435,3779.2969,8478.6807
288223667,2.2435,3798.8281,8522.4980
288223706,2.1115,3793.9453,8010.8643
288223746,2.1379,3813.4766,8152.7554
288223785,2.1115,3798.8281,8021.1738
288223824,2.0851,3803.7109,7931.0913
288223864,2.2435,3808.5938,8544.4063
288223903,2.1379,3779.2969,8079.6836
288223943,2.0851,3886.7188,8104.1699
288223982,2.0851,3784.1797,7890.3667
288224022,2.2171,3828.1250,8487.1855
288224062,2.1115,3779.2969,7979.9341
288224101,2.1115,3803.7109,8031.4839
288224141,2.2171,3774.4141,8368.1055
288224180,2.1643,3789.0625,8200.5684
288224220,2.1379,3789.0625,8100.5610
288224260,2.1115,3793.9453,8010.8643
288224299,2.0587,3798.8281,7820.6450
288224338,2.1907,3789.0625,8300.5752
288224377,2.2698,3793.9453,8611.6787
288224417,2.1379,3793.9453,8111.0000
288224457,2.2171,3813.4766,8454.7090
288224496,2.2435,3779.2969,8478.6807
288224536,2.3754,3764.6484,8942.6299
288224575,2.2435,3779.2969,8478.6807
288224615,2.2171,3808.5938,8443.8838
288224655,2.0323,3784.1797,7690.6099
288224694,2.1115,3818.3594,8062.4141
288224734,2.0851,3798.8281,7920.9102
288224773,1.9795,3833.0078,7587.5098
288224813,2.0851,3813.4766,7951.4531
288224852,2.0323,3813.4766,7750.1504
288224891,2.0851,3798.8281,7920.9102
288224931,2.0851,3803.7109,7931.0913
288224970,2.1643,3803.7109,8232.2715
288225010,2.1907,3774.4141,8268.4854
288225050,2.1643,3784.1797,8190.0005
288225089,2.2171,3779.2969,8378.9307
288225129,2.2698,3789.0625,8600.5957
288225168,2.2171,3745.1172,8303.1523
288225208,2.2962,3793.9453,8711.8145
288225247,2.2171,3789.0625,8400.5820
