12164b?I??1,411.3281,868.1014
288137609,2.2698,3779.2969,8578.4287
288137648,2.2171,3823.2422,8476.3604
288137688,2.2435,3793.9453,8511.5439
288137728,2.2435,3823.2422,8577.2695
288137766,2.2962,3784.1797,8689.3906
288137806,2.1115,3813.4766,8052.1040
288137845,2.2171,3789.0625,8400.5820
288137885,2.2171,3789.0625,8400.5820
288137925,2.2171,3828.1250,8487.1855
288137964,2.3226,3793.9453,8811.9512
288138004,2.3754,3818.3594,9070.2158
288138043,2.3490,3789.0625,8900.6172
288138083,2.2698,3789.0625,8600.5957
288138123,2.3754,3779.2969,8977.4258
288138162,2.3226,3793.9453,8811.9512
288138202,2.2698,3818.3594,8667.0947
288138241,2.2698,3779.2969,8578.4287
288138280,2.2171,3808.5938,8443.8838
288138319,2.2698,3793.9453,8611.6787
288138359,2.1643,3798.8281,8221.7041
288138399,2.1643,3803.7109,8232.2715
288138438,2.1115,3881.8359,8196.4443
288138478,2.1907,3823.2422,8375.4512
288138517,2.1907,3779.2969,8279.1816
288138557,2.2435,3789.0625,8500.5889
288138597,2.4282,3789.0625,9200.6377
288138636,2.3490,3789.0625,8900.6172
288138676,2.2698,3803.7109,8633.8447
288138715,2.1907,3774.4141,8268.4854
288138755,2.2698,3842.7734,8722.5107
288138795,2.2171,3793.9453,8411.4072
288138833,2.2435,3798.8281,8522.4980
288138873,2.2435,3803.7109,8533.4521
288138912,2.2171,3813.4766,8454.7090
288138952,2.2435,3813.4766,8555.3613
288138992,2.2698,3803.7109,8633.8447
288139031,2.3226,3813.4766,8857.3145
288139071,2.3490,3779.2969,8877.6777
288139110,2.2698,3818.3594,8667.0947
288139150,2.3226,3789.0625,8800.6094
288139190,2.2435,3671.8750,8237.6846
288139229,2.2171,3818.3594,8465.5352
288139269,2.1379,3774.4141,8069.2446
288139308,2.1907,3808.5938,8343.3613
288139347,2.2698,3793.9453,8611.6787
288139387,2.2698,3813.4766,8656.0117
288139426,2.1907,3803.7109,8332.6650
288139466,2.3490,3808.5938,8946.4961
288139505,2.1643,3818.3594,8263.9746
288139545,2.1643,3798.8281,8221.7041
288139584,2.2698,3808.5938,8644.9287
288139624,2.1643,3774.4141,8168.8652
288139664,2.2698,3823.2422,8678.1777
288139703,2.2962,3774.4141,8666.9658
288139743,2.1907,3793.9453,8311.2715
288139782,2.2962,3833.0078,8801.5117
288139822,2.2171,3779.2969,8378.9307
288139862,2.2435,3813.4766,8555.3613
288139900,2.1643,3798.8281,8221.7041
288139940,2.3226,3798.8281,8823.2920
288139979,2.1643,3793.9453,8211.1357
288140019,2.2171,3813.4766,8454.7090
288140059,2.3754,3818.3594,9070.2158
288140098,2.2171,3808.5938,8443.8838
288140138,2.2698,3823.2422,8678.1777
288140177,2.1907,3808.5938,8343.3613
288140217,2.2435,3813.4766,8555.3613
288140257,2.2171,3798.8281,8422.2334
288140296,2.1115,3852.5391,8134.5840
288140336,2.2171,3798.8281,8422.2334
288140375,2.2435,3793.9453,8511.5439
288140414,2.2698,3808.5938,8644.9287
288140454,2.3490,3813.4766,8957.9668
288140493,2.2962,3798.8281,8723.0273
288140533,2.2171,3793.9453,8411.4072
288140572,2.2171,3818.3594,8465.5352
288140612,2.1643,3789.0625,8200.5684
288140652,2.1907,3798.8281,8321.9678
288140691,2.1115,3803.7109,8031.4839
288140731,2.2171,3813.4766,8454.7090
288140770,2.2698,3828.1250,8689.2617
288140810,2.1643,3789.0625,8200.5684
288140849,2.2435,3823.2422,8577.2695
288140889,2.1907,3789.0625,8300.5752
288140929,2.1907,3808.5938,8343.3613
288140967,2.2698,3789.0625,8600.5957
288141007,2.1907,3808.5938,8343.3613
288141046,2.2171,3769.5313,8357.2803
288141086,2.2171,3789.0625,8400.5820
288141126,2.3226,3808.5938,8845.9736
288141165,2.2962,3793.9453,8711.8145
288141205,2.1643,3813.4766,8253.4072
288141244,2.1115,3803.7109,8031.4839
288141284,2.1907,3803.7109,8332.6650
288141324,2.0851,3823.2422,7971.8154
288141363,2.1907,3813.4766,8354.0576
288141403,2.2171,3833.0078,8498.0117
288141442,2.0587,3793.9453,7810.5928
288141481,2.1907,3823.2422,8375.4512
288141521,2.2962,3784.1797,8689.3906
288141560,2.3490,3808.5938,8946.4961
288141600,2.2698,3798.8281,8622.7617
288141639,2.2435,3906.2500,8763.4941
288141679,2.2435,3808.5938,8544.4063
288141719,2.2171,3793.9453,8411.4072
288141758,2.1115,3833.0078,8093.3442
288141798,2.1643,3798.8281,8221.7041
288141837,2.0851,3813.4766,7951.4531
288141877,2.1115,3784.1797,7990.2441
288141917,2.1907,3833.0078,8396.8447
288141956,2.1907,3789.0625,8300.5752
288141996,2.1907,3789.0625,8300.5752
288142034,2.1907,3808.5938,8343.3613
288142074,2.1115,3793.9453,8010.8643
288142113,2.1907,3798.8281,8321.9678
288142153,2.3226,3793.9453,8811.9512
288142193,2.2171,3823.2422,8476.3604
288142232,2.2435,3793.9453,8511.5439
288142272,2.2435,3798.8281,8522.4980
288142311,2.1643,3813.4766,8253.4072
288142351,2.1379,3784.1797,8090.1226
288142391,2.1643,3803.7109,8232.2715
288142430,2.0851,3793.9453,7910.7290
288142470,2.1643,3833.0078,8295.6777
288142509,2.1379,3818.3594,8163.1943
288142548,2.1115,3823.2422,8072.7241
288142588,2.0587,3828.1250,7880.9585
288142627,2.1643,3823.2422,8274.5430
288142667,2.1115,3818.3594,8062.4141
288142706,2.1907,3818.3594,8364.7549
288142746,2.1379,3813.4766,8152.7554
288142786,2.2171,3793.9453,8411.4072
288142825,2.1643,3818.3594,8263.9746
288142865,2.2171,3803.7109,8433.0586
288142904,2.2435,3784.1797,8489.6348
288142944,2.2698,3808.5938,8644.9287
288142984,2.2962,3920.8984,9003.3301
288143023,2.3490,3803.7109,8935.0264
288143063,2.1643,3779.2969,8179.4331
288143101,2.1643,3803.7109,8232.2715
288143141,2.0587,3813.4766,7850.8018
288143181,2.0323,3842.7734,7809.6904
288143220,2.0587,3828.1250,7880.9585
288143260,2.0851,3828.1250,7981.9966
288143299,2.0851,3842.7734,8012.5400
288143339,2.1907,3793.9453,8311.2715
288143378,2.1643,3837.8906,8306.2461
288143418,2.1115,3798.8281,8021.1738
288143458,2.2435,3823.2422,8577.2695
288143497,2.2698,3793.9453,8611.6787
288143537,2.2435,3803.7109,8533.4521
288143576,2.1907,3813.4766,8354.0576
288143616,2.2171,3798.8281,8422.2334
288143655,2.1907,3818.3594,8364.7549
288143694,2.1907,3793.9453,8311.2715
288143734,2.1115,3808.5938,8041.7939
288143773,2.0323,3813.4766,7750.1504
288143813,2.0587,3837.8906,7901.0630
288143853,2.0059,3823.2422,7669.0874
288143892,2.0059,3828.1250,7678.8823
288143932,2.0851,3828.1250,7981.9966
288143971,2.1115,3808.5938,8041.7939
288144011,2.1115,3813.4766,8052.1040
288144051,2.1379,3842.7734,8215.3887
288144090,2.1907,3808.5938,8343.3613
288144130,2.3226,3774.4141,8766.5869
288144168,2.3754,3798.8281,9023.8213
288144208,2.2962,3798.8281,8723.0273
288144248,2.2698,3666.9922,8323.5146
288144287,2.1643,3808.5938,8242.8398
288144327,2.2171,3798.8281,8422.2334
288144366,2.0587,3823.2422,7870.9063
288144406,2.0851,3784.1797,7890.3667
288144446,2.0059,3833.0078,7688.6768
288144485,2.0851,3833.0078,7992.1777
288144525,2.0587,3828.1250,7880.9585
288144564,2.2171,3833.0078,8498.0117
288144604,2.1115,3813.4766,8052.1040
288144643,2.1907,3823.2422,8375.4512
288144683,2.1643,3779.2969,8179.4331
288144722,2.1643,3842.7734,8316.8135
288144761,2.2962,3764.6484,8644.5420
288144801,2.2171,3803.7109,8433.0586
288144840,2.3754,3862.3047,9174.6045
