,16,1282.0475
293083367,2.6130,3696.2891,9658.2725
293083406,2.5074,3710.9375,9304.7686
293083446,2.5074,3720.7031,9329.2549
293083485,2.4018,3725.5859,8948.1719
293083525,2.2435,3774.4141,8467.7256
293083565,2.2962,3764.6484,8644.5420
293083603,2.3226,3745.1172,8698.5410
293083643,2.4018,3740.2344,8983.3545
293083682,2.3490,3754.8828,8820.3281
293083722,2.3754,3759.7656,8931.0313
293083761,2.2698,3720.7031,8445.4297
293083801,2.3754,3740.2344,8884.6357
293083841,2.3490,3715.8203,8728.5693
293083880,2.2435,3769.5313,8456.7715
293083920,2.2698,3745.1172,8500.8467
293083959,2.4282,3710.9375,9010.9336
293083999,2.5602,3715.8203,9513.1592
293084039,2.3490,3735.3516,8774.4482
293084078,2.3754,3740.2344,8884.6357
293084118,2.4810,3701.1719,9182.5947
293084156,2.4282,3730.4688,9058.3594
293084196,2.4282,3720.7031,9034.6465
293084236,2.3490,3745.1172,8797.3887
293084275,2.3226,3715.8203,8630.4951
293084315,2.3490,3754.8828,8820.3281
293084354,2.2962,3735.3516,8577.2695
293084394,2.2435,3764.6484,8445.8174
293084434,2.3490,3745.1172,8797.3887
293084473,2.3490,3710.9375,8717.0996
293084513,2.5074,3720.7031,9329.2549
293084552,2.2698,3730.4688,8467.5967
293084592,2.2698,3754.8828,8523.0127
293084632,2.4546,3691.4063,9060.9365
293084670,2.3754,3750.0000,8907.8330
293084710,2.3226,3754.8828,8721.2227
293084749,2.2962,3759.7656,8633.3301
293084789,2.2962,3764.6484,8644.5420
293084828,2.4018,3730.4688,8959.8994
293084868,2.4546,3754.8828,9216.7461
293084908,2.3490,3730.4688,8762.9785
293084947,2.3226,3745.1172,8698.5410
293084987,2.5602,3701.1719,9475.6563
293085026,2.4018,3730.4688,8959.8994
293085066,2.2962,3730.4688,8566.0576
293085106,2.2962,3754.8828,8622.1182
293085145,2.3490,3764.6484,8843.2676
293085185,2.5074,3720.7031,9329.2549
293085223,2.2962,3750.0000,8610.9053
293085263,2.2698,3730.4688,8467.5967
293085303,2.2435,3759.7656,8434.8633
293085342,2.3226,3735.3516,8675.8594
293085382,2.4546,3720.7031,9132.8486
293085421,2.3490,3725.5859,8751.5088
293085461,2.4018,3745.1172,8995.0820
293085501,2.2962,3725.5859,8554.8447
293085540,2.4018,3730.4688,8959.8994
293085580,2.4282,3754.8828,9117.6426
293085619,2.4546,3730.4688,9156.8193
293085659,2.3490,3750.0000,8808.8584
293085699,2.4018,3706.0547,8901.2607
293085737,2.3754,3740.2344,8884.6357
293085777,2.2962,3730.4688,8566.0576
293085816,2.2962,3750.0000,8610.9053
293085856,2.5074,3725.5859,9341.4980
293085896,2.4810,3740.2344,9279.5088
293085935,2.2698,3745.1172,8500.8467
293085975,2.2171,3754.8828,8324.8037
293086014,2.4546,3759.7656,9228.7314
293086054,2.2962,3715.8203,8532.4209
293086093,2.2698,3735.3516,8478.6797
293086133,2.3754,3837.8906,9116.6104
293086173,2.3226,3745.1172,8698.5410
293086212,2.5074,3691.4063,9255.7959
293086252,2.2962,3754.8828,8622.1182
293086290,2.2962,3759.7656,8633.3301
293086330,2.4282,3715.8203,9022.7900
293086370,2.4018,3735.3516,8971.6270
293086409,2.4546,3710.9375,9108.8779
293086449,2.3226,3750.0000,8709.8818
293086488,2.3490,3715.8203,8728.5693
293086528,2.4810,3735.3516,9267.3945
293086568,2.4546,3715.8203,9120.8633
293086607,2.2962,3759.7656,8633.3301
293086647,2.2962,3696.2891,8487.5723
293086686,2.3226,3740.2344,8687.2002
293086726,2.4282,3735.3516,9070.2168
