8108??	r??5,4033.2031,958.0560
81106623,2.3490,3759.7656,8831.7979
81106662,2.3226,3769.5313,8755.2461
81106700,2.3226,3769.5313,8755.2461
81106739,2.2435,3754.8828,8423.9082
81106777,2.2698,3774.4141,8567.3457
81106816,2.2435,3774.4141,8467.7256
81106854,2.2698,3764.6484,8545.1797
81106892,2.3226,3769.5313,8755.2461
81106931,2.2962,3779.2969,8678.1787
81106969,2.3490,3779.2969,8877.6777
81107008,2.2962,3769.5313,8655.7539
81107046,2.3226,3774.4141,8766.5869
81107085,2.2435,3784.1797,8489.6348
81107124,2.2435,3784.1797,8489.6348
81107162,2.2435,3784.1797,8489.6348
81107201,2.1907,3789.0625,8300.5752
81107238,2.3490,3774.4141,8866.2070
81107277,2.3754,3769.5313,8954.2285
81107316,2.3490,3764.6484,8843.2676
81107354,2.3490,3769.5313,8854.7373
81107393,2.4282,3769.5313,9153.2119
81107431,2.3754,3764.6484,8942.6299
81107470,2.3754,3769.5313,8954.2285
81107508,2.3226,3754.8828,8721.2227
81107547,2.1643,3789.0625,8200.5684
81107586,2.3490,3779.2969,8877.6777
81107623,2.2962,3789.0625,8700.6025
81107662,2.1907,3764.6484,8247.0918
81107700,2.2698,3784.1797,8589.5117
81107739,2.3490,3764.6484,8843.2676
81107777,2.3226,3793.9453,8811.9512
81107816,2.2698,3769.5313,8556.2627
81107855,2.4018,3779.2969,9077.1748
81107893,2.3490,3769.5313,8854.7373
81107932,2.3754,3769.5313,8954.2285
81107970,2.3226,3764.6484,8743.9053
81108008,2.3490,3779.2969,8877.6777
81108047,2.2962,3769.5313,8655.7539
81108085,2.2962,3779.2969,8678.1787
81108124,2.3226,3774.4141,8766.5869
81108162,2.2171,3784.1797,8389.7568
81108201,2.3490,3769.5313,8854.7373
81108239,2.2435,3789.0625,8500.5889
81108278,2.2171,3759.7656,8335.6289
81108317,2.3226,3779.2969,8777.9277
81108355,2.4546,3759.7656,9228.7314
81108393,2.3490,3764.6484,8843.2676
81108431,2.3754,3754.8828,8919.4326
81108470,2.4018,3764.6484,9041.9922
81108508,2.3754,3750.0000,8907.8330
81108547,2.3754,3769.5313,8954.2285
81108586,2.2698,3764.6484,8545.1797
81108624,2.3226,3779.2969,8777.9277
81108663,2.3226,3769.5313,8755.2461
81108701,2.2698,3779.2969,8578.4287
81108740,2.3226,3750.0000,8709.8818
81108777,2.3490,3784.1797,8889.1475
81108816,2.2435,3779.2969,8478.6807
81108855,2.2171,3793.9453,8411.4072
81108893,2.2435,3750.0000,8412.9541
81108932,2.3754,3779.2969,8977.4258
81108970,2.2435,3784.1797,8489.6348
81109009,2.3754,3784.1797,8989.0244
81109048,2.2435,3759.7656,8434.8633
81109086,2.3226,3774.4141,8766.5869
81109125,2.3226,3745.1172,8698.5410
81109163,2.3754,3779.2969,8977.4258
81109201,2.2435,3764.6484,8445.8174
81109239,2.2962,3774.4141,8666.9658
81109278,2.1643,3769.5313,8158.2974
