2700???&	??15,4023.4375,2017.6654
270049794,2.7449,3706.0547,10172.8700
270049835,2.7977,3686.5234,10313.8580
270049874,2.7185,3681.6406,10008.6830
270049915,2.6130,3710.9375,9696.5488
270049955,2.4810,3706.0547,9194.7090
270049994,2.4018,3745.1172,8995.0820
270050034,2.2698,3833.0078,8700.3447
270050073,2.2698,3779.2969,8578.4287
270050113,2.1379,3754.8828,8027.4893
270050153,2.0323,3793.9453,7710.4565
270050192,2.0851,3769.5313,7859.8232
270050232,2.2698,3750.0000,8511.9297
270050271,2.2962,3735.3516,8577.2695
270050311,2.4810,3710.9375,9206.8232
270050351,2.4018,3891.6016,9346.9102
270050390,2.5338,3696.2891,9365.5967
270050429,2.6658,3696.2891,9853.3887
270050468,2.6658,3696.2891,9853.3887
270050508,2.5074,3720.7031,9329.2549
270050548,2.5074,3554.6875,8912.9893
270050587,2.5074,3720.7031,9329.2549
270050627,2.6921,3676.7578,9898.3662
270050666,2.5074,3750.0000,9402.7139
270050706,2.4018,3710.9375,8912.9883
270050746,2.3490,3759.7656,8831.7979
270050785,2.4546,3720.7031,9132.8486
270050825,2.3226,3754.8828,8721.2227
270050864,2.2962,3745.1172,8599.6934
270050904,2.4810,3735.3516,9267.3945
270050944,2.5602,3725.5859,9538.1602
270050982,2.4282,3720.7031,9034.6465
270051022,2.3226,3769.5313,8755.2461
270051061,2.2962,3764.6484,8644.5420
270051101,2.3754,3750.0000,8907.8330
270051140,2.4546,3706.0547,9096.8926
270051180,2.3754,3745.1172,8896.2344
270051220,2.5602,3701.1719,9475.6563
270051259,2.6130,3715.8203,9709.3066
270051299,2.7977,3666.9922,10259.2160
270051339,2.8505,3559.5703,10146.5790
270051380,2.7713,3696.2891,10243.6220
270051421,2.5074,3691.4063,9255.7959
270051460,2.4018,3740.2344,8983.3545
270051500,2.3754,3720.7031,8838.2412
270051538,2.2962,3735.3516,8577.2695
270051578,2.2171,3745.1172,8303.1523
270051618,2.2698,3740.2344,8489.7627
270051657,2.1907,3764.6484,8247.0918
270051697,2.2435,3745.1172,8402.0000
270051736,2.0851,3789.0625,7900.5479
270051776,2.2171,3754.8828,8324.8037
270051816,2.2962,3779.2969,8678.1787
270051855,2.4018,3745.1172,8995.0820
270051895,2.5074,3710.9375,9304.7686
270051934,2.5866,3701.1719,9573.3438
270051974,2.7713,3691.4063,10230.0910
270052015,2.6921,3652.3438,9832.6406
270052054,2.7977,3686.5234,10313.8580
270052094,2.5338,3725.5859,9439.8291
270052133,2.5338,3696.2891,9365.5967
270052173,2.5338,3730.4688,9452.2012
270052213,2.4282,3706.0547,8999.0771
270052252,2.3226,3750.0000,8709.8818
270052292,2.1907,3769.5313,8257.7881
270052331,2.2698,3740.2344,8489.7627
270052371,2.4018,3754.8828,9018.5371
270052411,2.3490,3715.8203,8728.5693
270052450,2.3226,3745.1172,8698.5410
270052490,2.2962,3730.4688,8566.0576
270052529,2.4018,3740.2344,8983.3545
270052569,2.4810,3715.8203,9218.9375
270052609,2.6394,3691.4063,9742.9424
270052647,2.5602,3750.0000,9600.6650
270052687,2.5866,3706.0547,9585.9736
270052726,2.6130,3691.4063,9645.5137
270052766,2.5602,3720.7031,9525.6602
270052805,2.5338,3720.7031,9427.4570
270052845,2.4810,3730.4688,9255.2803
270052885,2.5338,3706.0547,9390.3408
270052924,2.4282,3730.4688,9058.3594
270052964,2.2698,3725.5859,8456.5137
270053003,2.2171,3759.7656,8335.6289
270053043,2.3754,3730.4688,8861.4385
270053083,2.3490,3730.4688,8762.9785
270053122,2.2962,3754.8828,8622.1182
270053161,2.3754,3686.5234,8757.0498
270053200,2.6130,3715.8203,9709.3066
270053240,2.6921,3681.6406,9911.5117
270053280,2.7185,3696.2891,10048.5050
270053320,2.5866,3725.5859,9636.4922
270053360,2.5338,3706.0547,9390.3408
270053399,2.5602,3730.4688,9550.6611
270053439,2.4810,3769.5313,9352.1943
270053479,2.1643,3764.6484,8147.7300
270053518,2.3226,3750.0000,8709.8818
270053558,2.2962,3740.2344,8588.4814
270053597,2.3754,3735.3516,8873.0371
270053637,2.2962,3720.7031,8543.6328
270053677,2.3754,3750.0000,8907.8330
270053715,2.3490,3720.7031,8740.0391
270053755,2.5602,3735.3516,9563.1621
270053794,2.6130,3710.9375,9696.5488
270053834,2.5338,3735.3516,9464.5732
270053874,2.5866,3681.6406,9522.8252
270053913,2.6921,3710.9375,9990.3828
270053953,2.6394,3627.9297,9575.4053
270053992,2.6130,3701.1719,9671.0313
270054032,2.5074,3691.4063,9255.7959
270054072,2.6394,3710.9375,9794.4932
270054111,2.4546,3696.2891,9072.9219
270054151,2.4018,3745.1172,8995.0820
270054190,2.2435,3730.4688,8369.1367
270054230,2.4018,3754.8828,9018.5371
270054268,2.3754,3666.9922,8710.6553
270054308,2.2962,3740.2344,8588.4814
270054348,2.2171,3730.4688,8270.6758
270054387,2.3226,3769.5313,8755.2461
270054427,2.4282,3701.1719,8987.2207
270054466,2.3754,3764.6484,8942.6299
270054506,2.2698,3725.5859,8456.5137
270054546,2.4282,3730.4688,9058.3594
270054585,2.4546,3725.5859,9144.8340
270054625,2.5074,3701.1719,9280.2822
270054664,2.5866,3710.9375,9598.6035
270054704,2.5866,3696.2891,9560.7139
270054744,2.6921,3681.6406,9911.5117
270054782,2.7713,3686.5234,10216.5590
270054823,2.6394,3691.4063,9742.9424
270054862,2.4810,3715.8203,9218.9375
270054902,2.5338,3701.1719,9377.9688
270054942,2.4018,3769.5313,9053.7197
270054981,2.4018,3720.7031,8936.4443
270055021,2.3754,3740.2344,8884.6357
270055060,2.2698,3740.2344,8489.7627
270055100,2.3226,3759.7656,8732.5635
270055140,2.2171,3735.3516,8281.5020
270055179,2.1907,3759.7656,8236.3955
270055219,2.2698,3740.2344,8489.7627
270055258,2.4282,3715.8203,9022.7900
270055298,2.5338,3725.5859,9439.8291
270055337,2.4810,3686.5234,9146.2520
270055376,2.6921,3701.1719,9964.0928
270055416,2.7449,3691.4063,10132.6610
270055456,2.6921,3676.7578,9898.3662
270055496,2.7449,3691.4063,10132.6610
270055537,2.5602,3706.0547,9488.1572
270055576,2.4282,3725.5859,9046.5029
